food_name,kcal_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g
0,173.0,42.4,83.7,1.5
1,66.0,39.2,13.8,3.2
2,225.99999999999997,27.1,79.1,25.8
3,115.99999999999999,43.4,47.1,16.1
4,500.0,33.9,75.8,47.0
5,387.0,31.2,6.800000000000001,39.5
6,138.0,28.199999999999996,12.4,20.2
7,69.0,36.8,17.8,15.0
8,568.0,6.7,7.000000000000001,23.4
9,204.0,19.3,62.7,31.8
10,108.0,40.6,13.900000000000002,12.2
11,117.0,34.4,21.0,10.1
12,147.0,20.1,32.7,8.9
13,468.0,23.7,89.2,3.1
14,157.0,27.500000000000004,32.4,9.4
15,385.0,15.8,36.5,33.1
16,297.0,36.3,76.4,24.9
17,274.0,42.4,54.50000000000001,45.2
18,353.0,24.0,96.2,6.800000000000001
19,569.0,4.3,23.2,31.900000000000002
20,217.0,28.1,8.3,38.9
21,492.0,32.8,45.9,27.500000000000004
22,222.00000000000003,21.1,85.0,45.1
23,335.0,38.0,64.7,39.1
24,552.0,25.900000000000002,27.399999999999995,39.2
25,252.0,18.0,24.9,31.0
26,141.0,19.0,93.3,11.8
27,336.0,43.1,56.8,21.9
28,315.0,37.8,25.5,15.6
29,553.0,44.1,25.7,21.9
30,496.0,18.1,24.9,16.5
31,142.0,14.6,21.9,41.4
32,71.0,4.0,62.8,42.7
33,595.0,32.5,23.8,35.1
34,165.0,7.7,35.0,44.2
35,568.0,27.500000000000004,63.4,25.4
36,437.0,41.2,71.7,6.0
37,195.0,45.0,40.9,31.6
38,71.0,33.4,70.0,27.3
39,271.0,13.699999999999998,89.5,33.8
40,353.0,34.1,87.5,47.0
41,219.0,32.6,49.5,30.3
42,171.0,47.4,80.3,10.1
43,539.0,43.1,35.6,15.6
44,86.0,48.7,52.900000000000006,9.3
45,173.0,22.1,59.4,30.099999999999998
46,359.0,31.6,30.8,13.3
47,508.0,5.3,70.4,40.3
48,294.0,21.6,97.9,23.5
49,315.0,4.7,23.6,7.5
50,191.0,28.800000000000004,39.6,40.3
51,484.99999999999994,49.2,81.2,5.8
52,282.0,30.3,69.7,21.5
53,281.0,19.6,61.0,29.7
54,233.0,39.6,53.400000000000006,44.6
55,184.0,19.0,39.9,1.1
56,449.0,44.3,76.2,39.8
57,547.0,20.3,33.9,44.9
58,285.0,13.900000000000002,46.2,31.8
59,244.0,2.6,93.3,22.2
60,484.0,29.7,70.2,37.9
61,592.0,34.7,55.60000000000001,21.1
62,56.99999999999999,8.4,65.5,35.9
63,434.0,47.5,34.2,25.5
64,527.0,16.1,76.4,34.7
65,538.0,36.3,17.8,29.799999999999997
66,276.0,20.7,97.9,27.3
67,558.0,12.3,55.39999999999999,26.1
68,308.0,42.1,25.7,3.1
69,56.00000000000001,41.9,77.4,29.2
70,565.0,4.8,45.9,45.1
71,91.0,11.1,76.6,38.8
72,282.0,12.0,54.0,6.6000000000000005
73,563.0,46.0,19.4,34.3
74,566.0,45.4,8.8,44.5
75,315.0,9.1,67.7,39.1
76,216.0,11.5,24.5,2.6
77,589.0,48.4,67.0,24.3
78,381.0,49.6,7.8,37.7
79,161.0,30.4,72.8,31.4
80,56.99999999999999,22.3,10.4,14.3
81,499.0,36.6,74.4,34.6
82,412.0,41.9,5.5,14.400000000000002
83,575.0,38.4,94.0,1.1
84,362.0,47.2,47.7,23.9
85,492.0,34.3,27.1,16.6
86,470.0,16.2,51.4,24.2
87,509.0,45.5,72.6,40.7
88,296.0,6.800000000000001,20.6,11.5
89,181.0,6.6000000000000005,12.9,45.2
90,572.0,40.1,49.7,14.899999999999999
91,507.0,48.2,79.6,15.5
92,346.0,36.7,47.9,34.7
93,537.0,44.4,28.199999999999996,17.5
94,425.0,23.1,30.9,9.2
95,560.0,36.1,15.1,12.3
96,148.0,39.3,67.7,18.2
97,322.0,36.0,56.7,21.1
98,240.0,21.4,78.0,14.2
99,144.0,45.2,42.2,1.5
100,450.0,18.1,14.7,25.8
101,467.0,4.5,95.5,49.5
102,309.0,22.2,7.9,35.6
103,594.0,15.2,21.0,2.0
104,527.0,35.9,52.300000000000004,35.1
105,304.0,18.6,75.8,49.8
106,235.0,12.4,83.2,47.4
107,176.0,36.5,70.7,14.899999999999999
108,484.0,13.600000000000001,69.1,30.8
109,131.0,34.6,12.5,17.0
110,543.0,29.7,67.8,7.000000000000001
111,89.0,2.4,11.3,18.7
112,359.0,10.8,54.50000000000001,8.7
113,342.0,18.9,9.8,5.0
114,50.0,18.4,11.1,29.600000000000005
115,403.0,47.1,45.8,38.6
116,267.0,43.6,16.8,17.4
117,537.0,50.0,96.3,23.6
118,519.0,14.499999999999998,38.5,20.7
119,168.0,34.5,57.49999999999999,9.2
120,122.0,17.1,70.4,21.0
121,153.0,46.7,91.0,45.0
122,263.0,33.4,9.3,17.1
123,252.99999999999997,11.5,43.5,21.7
124,488.0,4.6,68.8,47.2
125,565.0,48.7,54.6,2.9
126,179.0,1.4,47.7,20.3
127,213.0,17.3,35.9,7.1
128,355.0,44.5,70.5,37.4
129,178.0,28.000000000000004,64.6,35.4
130,530.0,36.3,57.99999999999999,32.3
131,417.0,7.7,97.6,39.2
132,365.0,29.100000000000005,67.1,28.199999999999996
133,140.0,19.1,38.6,30.2
134,106.0,38.9,16.9,33.7
135,409.99999999999994,23.9,51.4,16.1
136,223.0,30.099999999999998,20.9,15.6
137,160.0,41.1,34.7,14.7
138,224.00000000000003,22.3,28.7,10.1
139,336.0,40.8,71.1,46.9
140,343.0,41.8,62.8,19.3
141,454.0,43.4,82.9,5.8
142,199.0,6.2,52.400000000000006,9.0
143,444.00000000000006,28.6,77.5,9.6
144,139.0,7.000000000000001,73.1,3.1
145,121.0,8.7,55.89999999999999,10.3
146,287.0,2.2,91.8,31.5
147,541.0,6.7,87.7,4.4
148,593.0,17.9,53.900000000000006,9.9
149,311.0,21.3,67.6,5.8
150,587.0,20.4,84.3,36.7
151,391.0,12.6,20.4,2.2
152,79.0,10.0,89.4,12.9
153,67.0,27.699999999999996,41.9,38.4
154,587.0,5.5,54.50000000000001,47.4
155,136.0,33.7,37.7,42.0
156,561.0,45.4,56.8,31.8
157,447.0,9.0,40.7,34.6
158,204.0,25.4,18.2,45.1
159,570.0,39.6,83.5,16.8
160,521.0,18.6,46.2,36.0
161,480.99999999999994,29.2,12.5,9.7
162,369.0,38.2,16.8,4.1
163,568.0,2.3,11.8,16.2
164,172.0,6.9,25.7,29.100000000000005
165,200.99999999999997,41.0,12.7,47.1
166,404.0,12.1,33.3,4.5
167,531.0,20.0,12.3,30.3
168,114.99999999999999,8.7,6.7,35.1
169,59.0,36.3,13.900000000000002,26.899999999999995
170,480.99999999999994,38.6,36.8,12.2
171,328.0,6.800000000000001,85.3,17.0
172,358.0,27.3,37.5,16.7
173,530.0,43.6,18.1,10.5
174,95.0,37.2,81.9,20.7
175,384.0,7.1,96.4,40.0
176,103.0,30.2,70.8,42.0
177,289.0,14.000000000000002,52.900000000000006,17.1
178,551.0,35.6,13.8,4.0
179,497.0,18.0,70.8,42.8
180,413.99999999999994,22.0,67.8,8.4
181,204.99999999999997,1.1,10.5,28.1
182,574.0,20.4,92.9,35.0
183,433.0,40.5,34.5,28.7
184,546.0,12.3,52.900000000000006,37.8
185,409.99999999999994,16.9,15.1,4.0
186,79.0,18.1,74.7,19.7
187,500.0,18.8,10.5,18.6
188,425.0,25.3,83.8,7.400000000000001
189,112.99999999999999,21.4,27.1,29.299999999999997
190,185.0,2.4,71.1,34.1
191,559.0,26.3,63.2,33.1
192,482.0,37.1,27.200000000000003,11.9
193,542.0,16.6,42.3,28.800000000000004
194,300.0,9.5,61.5,19.0
195,484.99999999999994,26.200000000000003,34.1,17.9
196,71.0,6.7,90.0,31.2
197,181.0,43.1,87.1,38.2
198,330.0,20.2,83.1,49.8
199,249.00000000000003,11.4,13.3,28.6
200,224.00000000000003,41.5,78.3,24.6
201,246.0,15.1,97.7,27.500000000000004
202,499.0,26.899999999999995,25.2,26.700000000000003
203,194.0,6.2,80.8,32.6
204,194.0,17.4,59.599999999999994,46.6
205,200.0,21.8,28.4,34.2
206,244.0,10.6,74.4,34.2
207,185.0,22.3,10.4,17.3
208,219.0,25.900000000000002,65.9,17.3
209,403.0,8.8,78.3,5.7
210,214.0,10.9,86.3,2.6
211,190.0,16.4,92.3,47.8
212,157.0,21.7,10.6,33.8
213,550.0,49.2,88.3,12.2
214,319.0,32.4,86.4,46.9
215,68.0,45.2,73.9,13.900000000000002
216,519.0,5.9,45.5,41.7
217,570.0,39.2,35.6,13.0
218,405.99999999999994,30.3,95.8,42.4
219,589.0,11.2,16.5,43.0
220,60.0,34.9,9.3,22.7
221,532.0,16.0,25.4,40.8
222,458.0,36.9,94.6,5.7
223,377.0,49.9,42.9,33.6
224,563.0,9.5,18.2,16.6
225,204.0,49.6,75.5,22.6
226,218.00000000000003,37.1,98.1,18.2
227,369.0,33.1,16.9,5.7
228,463.0,44.9,6.3,33.4
229,487.0,16.8,17.6,32.3
230,84.0,30.599999999999998,38.8,15.5
231,156.0,1.0,83.5,16.8
232,202.0,11.9,23.5,28.300000000000004
233,558.0,40.3,45.0,15.8
234,499.0,42.8,65.0,1.6
235,519.0,28.6,52.900000000000006,43.1
236,235.0,28.999999999999996,85.4,26.3
237,295.0,34.1,27.1,42.6
238,323.0,25.0,94.3,31.2
239,245.00000000000003,46.1,9.8,48.3
240,407.0,15.5,86.6,31.3
241,484.99999999999994,47.9,16.0,24.1
242,426.99999999999994,25.1,40.9,1.4
243,277.0,15.7,8.9,45.6
244,493.0,31.6,59.5,34.0
245,338.0,5.4,99.3,23.2
246,574.0,14.899999999999999,51.5,29.4
247,514.0,14.899999999999999,93.4,20.3
248,62.0,5.7,50.0,37.8
249,196.0,7.7,23.9,26.899999999999995
250,92.0,45.0,37.3,17.3
251,326.0,47.2,71.9,9.2
252,417.0,46.8,31.900000000000002,27.1
253,465.00000000000006,32.7,23.0,3.4000000000000004
254,409.99999999999994,27.699999999999996,75.2,7.6
255,165.0,31.6,68.0,30.3
256,440.00000000000006,41.6,50.8,35.1
257,501.0,10.5,84.7,30.9
258,337.0,38.0,87.7,42.0
259,492.0,2.5,80.1,31.2
260,159.0,45.1,40.7,36.0
261,480.99999999999994,9.1,20.9,42.8
262,60.0,23.9,18.5,34.0
263,561.0,36.7,35.5,12.6
264,580.0,23.6,15.6,49.9
265,515.0,37.6,41.0,44.2
266,405.99999999999994,40.0,17.9,10.4
267,344.0,24.3,26.3,4.7
268,98.0,4.6,32.7,34.9
269,141.0,40.7,81.6,44.6
270,138.0,29.799999999999997,6.3,7.6
271,256.0,16.3,75.0,37.9
272,267.0,30.4,70.3,25.900000000000002
273,488.0,21.7,82.1,15.0
274,364.0,28.6,39.7,25.3
275,521.0,34.8,36.9,43.0
276,437.0,10.4,71.6,19.1
277,588.0,46.6,14.099999999999998,14.899999999999999
278,470.0,13.100000000000001,93.5,29.9
279,343.0,1.6,47.7,24.5
280,311.0,7.7,58.20000000000001,39.0
281,413.0,39.6,56.8,29.100000000000005
282,336.0,15.2,11.1,1.1
283,141.0,19.8,8.2,46.5
284,268.0,35.6,30.5,17.7
285,287.0,44.7,76.7,28.499999999999996
286,473.00000000000006,13.4,16.8,28.800000000000004
287,359.0,36.7,37.8,32.2
288,405.0,4.1,9.4,41.6
289,353.0,33.2,64.3,44.3
290,531.0,46.9,73.7,21.9
291,169.0,29.7,41.7,35.5
292,328.0,32.3,75.8,3.3000000000000003
293,192.0,29.7,11.9,3.5000000000000004
294,80.0,28.800000000000004,79.4,31.2
295,180.0,35.6,35.4,46.9
296,206.0,17.2,28.1,48.7
297,563.0,16.3,91.7,26.899999999999995
298,363.0,16.2,12.3,5.6
299,299.0,17.1,44.3,31.7
300,300.0,45.3,39.1,10.8
301,423.00000000000006,18.7,82.2,32.3
302,546.0,6.800000000000001,64.7,27.3
303,520.0,18.3,77.9,40.6
304,528.0,21.3,7.8,6.2
305,570.0,14.099999999999998,7.1,15.8
306,549.0,25.0,23.7,38.6
307,84.0,40.5,18.7,23.7
308,475.0,20.0,34.8,2.4
309,186.0,22.6,52.6,27.699999999999996
310,434.99999999999994,44.1,56.3,40.6
311,196.0,23.3,26.200000000000003,6.2
312,589.0,12.5,88.7,27.800000000000004
313,166.0,33.4,81.9,19.9
314,214.0,12.0,18.8,25.0
315,261.0,27.500000000000004,75.7,24.3
316,396.0,18.0,55.3,40.3
317,552.0,23.2,35.8,16.7
